"site","lat","long"
"LU02_03",54.87192,-111.48897
"LU02_05",54.87287,-111.40779
"LU02_100",54.99404,-111.76688
"LU02_101",54.86738,-111.41208
"LU02_106",54.88816,-111.78943
"LU02_110",54.91792,-111.47919
"LU02_119",54.98888,-111.78169
"LU02_123",55.00679,-111.66826
"LU02_13",54.89791,-111.40125
"LU02_137",54.94295,-111.59875
"LU02_143",54.93758,-111.43214
"LU02_15",54.90787,-111.38586
"LU02_153",54.98868,-111.49073
"LU02_155",54.97483,-111.40751
"LU02_17",54.92504,-111.50987
"LU02_18",54.92097,-111.45886
"LU02_20",54.95559,-111.63136
"LU02_21",54.94711,-111.62397
"LU02_24",54.97593,-111.78605
"LU02_25",54.97028,-111.63915
"LU02_26",54.96789,-111.41759
"LU02_27",55.00145,-111.65134
"LU02_29",54.85586,-111.5666
"LU02_30",54.85813,-111.60098
"LU02_31",54.86417,-111.47372
"LU02_32",54.86235,-111.4461
"LU02_33",54.86687,-111.50648
"LU02_34",54.8848,-111.40033
"LU02_36",54.92015,-111.3576
"LU02_38",54.92608,-111.52653
"LU02_39",54.92213,-111.49615
"LU02_40",54.93723,-111.58392
"LU02_42",54.92949,-111.45815
"LU02_44",54.95452,-111.4257
"LU02_46",54.96857,-111.51454
"LU02_47",54.97673,-111.64797
"LU02_50",54.97719,-111.49719
"LU02_51",54.99653,-111.47964
"LU02_52",54.99463,-111.40199
"LU02_54",55.00331,-111.41174
"LU02_56",55.01672,-111.39808
"LU02_57",55.04159,-111.39145
"LU03_05",55.34055,-110.86127
"LU03_07",55.40634,-110.75082
"LU03_10",55.43207,-110.78266
"LU03_102",55.33055,-110.85629
"LU03_103",55.33152,-110.8249
"LU03_111",55.39863,-111.1192
"LU03_126",55.55315,-110.772418
"LU03_129",55.57962,-110.82375
"LU03_13",55.50208,-111.11472
"LU03_131",55.33239,-110.79513
"LU03_137",55.42564,-111.19794
"LU03_14",55.50061,-111.09364
"LU03_147",55.53844,-110.84415
