"array","year","site","n_weeks","deer_present","wolf_present"
"LU01",2022,"LU01_06",15,5,0
"LU01",2022,"LU01_10",15,14,0
"LU01",2022,"LU01_11",15,10,0
"LU01",2022,"LU01_13",15,11,0
"LU01",2022,"LU01_22",15,10,0
"LU01",2022,"LU01_25",15,11,0
"LU01",2022,"LU01_27",15,8,1
"LU01",2022,"LU01_30",15,5,0
"LU01",2022,"LU01_32",15,8,0
"LU01",2022,"LU01_36",15,5,0
"LU01",2022,"LU01_40",15,5,0
"LU01",2022,"LU01_41",15,15,1
"LU01",2022,"LU01_43",15,7,0
"LU01",2022,"LU01_44",15,4,0
"LU01",2022,"LU01_45",15,11,0
"LU01",2022,"LU01_46",15,5,0
"LU01",2022,"LU01_47",15,10,0
"LU01",2022,"LU01_48",15,9,0
"LU01",2022,"LU01_60",8,6,0
"LU01",2022,"LU01_63",15,10,1
"LU01",2022,"LU01_64",15,11,0
"LU01",2022,"LU01_66",15,10,0
"LU01",2022,"LU01_67",15,8,0
"LU01",2022,"LU01_70",15,13,1
"LU01",2022,"LU01_71",15,9,0
"LU01",2022,"LU01_72",13,11,0
"LU01",2022,"LU01_73",15,6,0
"LU01",2022,"LU01_74",15,5,1
"LU01",2022,"LU01_75",15,6,0
"LU01",2022,"LU01_76",15,8,0
"LU01",2022,"LU01_77",7,1,0
"LU01",2022,"LU01_78",15,0,0
"LU01",2022,"LU01_79",15,1,0
"LU01",2022,"LU01_80",15,7,1
"LU01",2022,"LU01_82",14,3,0
"LU01",2022,"LU01_83",15,4,0
"LU01",2022,"LU01_84",15,2,1
"LU01",2022,"LU01_85",14,12,0
"LU01",2022,"LU01_86",15,15,0
"LU01",2023,"LU01_06",14,6,0
"LU01",2023,"LU01_11",14,10,0
"LU01",2023,"LU01_13",14,12,0
"LU01",2023,"LU01_22",14,2,0
"LU01",2023,"LU01_25",14,12,0
"LU01",2023,"LU01_27",14,8,0
"LU01",2023,"LU01_30",14,7,0
"LU01",2023,"LU01_32",14,3,0
"LU01",2023,"LU01_36",14,3,0
"LU01",2023,"LU01_40",11,5,0
"LU01",2023,"LU01_41",14,11,0
"LU01",2023,"LU01_43",14,6,0
"LU01",2023,"LU01_44",14,5,0
"LU01",2023,"LU01_45",14,11,0
"LU01",2023,"LU01_46",14,10,0
"LU01",2023,"LU01_47",14,10,0
"LU01",2023,"LU01_48",14,6,0
"LU01",2023,"LU01_64",14,11,0
"LU01",2023,"LU01_66",14,9,0
"LU01",2023,"LU01_67",14,9,0
"LU01",2023,"LU01_71",14,5,0
"LU01",2023,"LU01_73",14,6,0
"LU01",2023,"LU01_74",14,6,0
"LU01",2023,"LU01_75",14,4,0
"LU01",2023,"LU01_78",14,3,0
"LU01",2023,"LU01_79",14,5,0
"LU01",2023,"LU01_80",14,8,0
"LU01",2023,"LU01_82",14,3,0
"LU01",2023,"LU01_83",14,2,0
"LU01",2023,"LU01_84",14,2,0
"LU01",2023,"LU01_86",7,4,0
"LU02",2021,"LU02_03",11,8,0
"LU02",2021,"LU02_05",7,2,0
"LU02",2021,"LU02_100",11,4,0
"LU02",2021,"LU02_101",11,9,0
"LU02",2021,"LU02_106",11,7,0
"LU02",2021,"LU02_110",11,3,0
"LU02",2021,"LU02_119",11,1,0
"LU02",2021,"LU02_123",11,2,0
"LU02",2021,"LU02_13",11,6,0
"LU02",2021,"LU02_137",11,7,0
"LU02",2021,"LU02_143",11,7,0
"LU02",2021,"LU02_15",11,2,0
"LU02",2021,"LU02_153",11,9,0
"LU02",2021,"LU02_155",11,10,0
"LU02",2021,"LU02_17",11,6,0
"LU02",2021,"LU02_18",11,2,0
"LU02",2021,"LU02_20",11,9,0
"LU02",2021,"LU02_21",11,4,0
"LU02",2021,"LU02_24",11,4,0
"LU02",2021,"LU02_25",11,4,0
"LU02",2021,"LU02_26",11,10,0
"LU02",2021,"LU02_27",11,3,0
"LU02",2021,"LU02_29",11,8,0
"LU02",2021,"LU02_30",11,5,0
"LU02",2021,"LU02_31",11,6,0
"LU02",2021,"LU02_32",11,7,0
"LU02",2021,"LU02_33",11,6,0
"LU02",2021,"LU02_34",11,6,0
"LU02",2021,"LU02_36",11,5,0
"LU02",2021,"LU02_38",8,4,0
"LU02",2021,"LU02_39",11,4,0
"LU02",2021,"LU02_40",11,10,0
"LU02",2021,"LU02_42",11,6,0
"LU02",2021,"LU02_44",10,6,0
"LU02",2021,"LU02_46",11,7,0
"LU02",2021,"LU02_47",11,11,0
"LU02",2021,"LU02_50",11,11,0
"LU02",2021,"LU02_51",11,8,0
"LU02",2021,"LU02_52",11,3,0
