"year","array","site","lat","long","n_weeks","deer_present","predator_detections","n_young","n_female","n_male","PC1","PC2","disturbance_index","linear_index","polygonal_index","roads","wells","well_gas","well_oil","well_bitumen","inactive_well","seismic","seismic_3D","harvest","pipeline","winter_year","mean_snow","mean_min_temp","winter_year_lag2","mean_snow_lag2","winter_year_lag3","mean_snow_lag3","mean_snow_temporal","mean_min_temp_temporal","mean_snow_spatial","mean_min_temp_spatial","snow_anomaly","temp_anomaly","predator_index"
2022,"LU01","LU01_06",54.56253,-110.60829,15,5,17,3,2,1,2.45392266850992,-0.22938168346505,0.098792447,0.036131846,0.062660601,0.012552871,0.014001845,0,0,0.012338647,0,0.005202891,0,0,0.015044895,2021,54.5519811320755,-11.7600943396226,2020,26.9896682464455,2019,16.9188732394366,38.0779451513822,-12.7932833479596,24.0211940247241,-10.6177028547195,30.5307871073514,-1.14239148490318,1.13333333333333
2023,"LU01","LU01_06",54.56253,-110.60829,14,6,9,4,1,3,2.45392266850992,-0.22938168346505,0.098792447,0.036131846,0.062660601,0.012552871,0.014001845,0,0,0.012338647,0,0.005202891,0,0,0.015044895,2022,18.3913679245283,-11.1592924528302,2021,54.5519811320755,2020,26.9896682464455,13.6092764370338,-11.9164168494954,23.7710068151315,-10.8875574396332,-5.37963889060315,-0.271735013197009,0.642857142857143
2022,"LU01","LU01_10",54.58592,-110.60129,15,14,8,0,11,8,1.47564596566618,-0.330448451555369,0.170067779,0.056880033,0.113187746,0.028499614,0.007707939,0,0,0.007707939,0.021683632,0.00329875,0,2.52e-05,0.022958831,2021,56.1371698113208,-11.8292924528302,2020,27.4117061611374,2019,17.7969953051643,38.0779451513822,-12.7932833479596,24.9216500139742,-10.7022699336636,31.2155197973465,-1.12702251916655,0.533333333333333
2022,"LU01","LU01_11",54.588892,-110.48226,15,10,3,9,4,2,2.88110901230672,0.991009812598662,0.312177604,0.072407272,0.239770332,0.052974485,0.082835057,0,0,0.079283668,0.011570708,0.001788567,0.000996342000000001,0,0.013412347,2021,55.7124528301887,-11.8077358490566,2020,26.9683412322275,2019,17.0509389671362,38.0779451513822,-12.7932833479596,24.3180369952311,-10.6378827455314,31.3944158349576,-1.16985310352518,0.2
2023,"LU01","LU01_11",54.588892,-110.48226,14,10,7,1,6,3,2.88110901230672,0.991009812598662,0.312177604,0.072407272,0.239770332,0.052974485,0.082835057,0,0,0.079283668,0.011570708,0.001788567,0.000996342000000001,0,0.013412347,2022,19.2881132075472,-11.1333018867925,2021,55.7124528301887,2020,26.9683412322275,13.6092764370338,-11.9164168494954,24.170507380723,-10.9044483886756,-4.88239417317586,-0.228853498116862,0.5
2022,"LU01","LU01_13",54.60634,-110.72349,15,11,15,6,8,1,3.19696542840748,0.275152282956551,0.070555866,0.029997664,0.040558202,0.010412159,0,0,0,0,0.008049565,0.01592892,0,0,0,2021,56.7184433962264,-11.8026886792453,2020,27.3602843601896,2019,17.6499061032864,38.0779451513822,-12.7932833479596,24.7416035390588,-10.7116956245397,31.9768398571677,-1.09099305470558,1
2023,"LU01","LU01_13",54.60634,-110.72349,14,12,3,10,6,2,3.19696542840748,0.275152282956551,0.070555866,0.029997664,0.040558202,0.010412159,0,0,0,0,0.008049565,0.01592892,0,0,0,2022,18.8366037735849,-11.1031603773585,2021,56.7184433962264,2020,27.3602843601896,13.6092764370338,-11.9164168494954,24.4879913340966,-10.9693495555586,-5.65138756051166,-0.133810821799855,0.214285714285714
2022,"LU01","LU01_22",54.65007,-110.48788,15,10,18,2,4,4,0.691370841174604,0.489927610332463,0.313631891,0.079366487,0.234265404,0.040280045,0.035731992,0,0,0.028045681,0.014125445,0.009246869,0.011259277,0,0.012447273,2021,57.8799528301887,-11.8393867924528,2020,27.4243601895735,2019,17.1427699530516,38.0779451513822,-12.7932833479596,24.6576272538125,-10.6573523331574,33.2223255763762,-1.18203445929548,1.2
2023,"LU01","LU01_22",54.65007,-110.48788,14,2,8,0,0,2,0.691370841174604,0.489927610332463,0.313631891,0.079366487,0.234265404,0.040280045,0.035731992,0,0,0.028045681,0.014125445,0.009246869,0.011259277,0,0.012447273,2022,20.2268396226415,-11.0027358490566,2021,57.8799528301887,2020,27.4243601895735,13.6092764370338,-11.9164168494954,24.5920305144282,-10.9135122716333,-4.36519089178673,-0.0892235774233416,0.571428571428571
2022,"LU01","LU01_25",54.6924,-110.549,15,11,12,2,3,9,1.04400382404867,1.05642274885148,0.21006013,0.053553932,0.156506198,0.037249763,0.046790496,0,0,0.046790496,0.007918347,0.005128732,0,0.030089227,0.009666275,2021,57.8923113207547,-11.8170283018868,2020,27.32,2019,16.7808450704225,38.0779451513822,-12.7932833479596,24.3535366359233,-10.6449404908501,33.5387746848314,-1.17208781103673,0.8
2023,"LU01","LU01_25",54.6924,-110.549,14,12,19,5,2,3,1.04400382404867,1.05642274885148,0.21006013,0.053553932,0.156506198,0.037249763,0.046790496,0,0,0.046790496,0.007918347,0.005128732,0,0.030089227,0.009666275,2022,19.9877830188679,-10.8621226415094,2021,57.8923113207547,2020,27.32,13.6092764370338,-11.9164168494954,24.3014742300415,-10.8910361471204,-4.31369121117357,0.0289135056110155,1.35714285714286
