"Term","linear_males","polygonal_males","linear_females","polygonal_females","linear_young","polygonal_young"
"linear_index",1.74,NA,2.03,NA,3.86,NA
"PC1",1.07,1.05,1.07,1.04,1.51,1.33
"PC2",1.09,1.05,1.08,1.03,1.17,1.04
"predator_index",1.01,1.01,1.01,1.01,1.02,1.02
"lat",1.4,1.44,1.64,1.44,1.48,1.37
"mean_snow_spatial",1.22,1.25,1.33,1.3,1.16,1.09
"snow_anomaly",1.26,1.24,1.29,1.17,1.12,1.12
"linear_index:mean_snow_spatial",1.63,NA,1.7,NA,2.79,NA
"linear_index:snow_anomaly",1.45,NA,1.55,NA,1.97,NA
"polygonal_index",NA,1.46,NA,2.07,NA,3.77
"polygonal_index:mean_snow_spatial",NA,1.69,NA,2.08,NA,3.33
"polygonal_index:snow_anomaly",NA,1.49,NA,1.49,NA,1.91
